Tanggal_Loop,Tanggal,Provinsi,Komoditas,Harga_Rp,Perubahan_Harga
2018-10-29,29 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-30,30 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-31,31 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-11-01,01 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-11-02,02 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-11-03,,,,,
2018-11-04,,,,,
2018-11-05,05 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,
2018-11-06,06 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-07,07 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-08,08 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-09,09 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-10,,,,,
2018-11-11,,,,,
2018-11-12,12 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-13,13 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-14,14 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-15,15 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-16,16 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-17,,,,,
2018-11-18,,,,,
2018-11-19,19 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-20,,,,,
2018-11-21,21 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,
2018-11-22,22 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-23,23 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-24,,,,,
2018-11-25,,,,,
2018-11-26,26 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-27,27 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11650.0,Rp0
2018-11-28,28 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,-Rp250
2018-11-29,29 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-11-30,30 Nov 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-01,,,,,
2018-12-02,,,,,
2018-12-03,03 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,
2018-12-04,04 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-05,05 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-06,06 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-07,07 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-08,,,,,
2018-12-09,,,,,
2018-12-10,10 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-11,11 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-12,12 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-13,13 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-14,14 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-15,,,,,
2018-12-16,,,,,
2018-12-17,17 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-18,18 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-19,19 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-20,20 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-21,21 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-22,,,,,
2018-12-23,,,,,
2018-12-24,24 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-25,,,,,
2018-12-26,26 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,
2018-12-27,27 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-28,28 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2018-12-29,,,,,
2018-12-30,,,,,
2018-12-31,31 Des 18,DI Yogyakarta,Beras Kualitas Medium II,11400.0,
2019-01-01,,,,,
2019-01-02,02 Jan 19,DI Yogyakarta,Beras Kualitas Medium II,11400.0,
2019-01-03,03 Jan 19,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2019-01-04,04 Jan 19,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2019-01-05,,,,,
2019-01-06,,,,,
2019-01-07,07 Jan 19,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2019-01-08,08 Jan 19,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2019-01-09,09 Jan 19,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2019-01-10,10 Jan 19,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2019-01-11,11 Jan 19,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2019-01-12,,,,,
2019-01-13,,,,,
2019-01-14,14 Jan 19,DI Yogyakarta,Beras Kualitas Medium II,11400.0,
2019-01-15,15 Jan 19,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
2019-01-16,16 Jan 19,DI Yogyakarta,Beras Kualitas Medium II,11400.0,Rp0
