tanggal,harga_beras
2023-01-21,12500.0
2023-01-22,12500.0
2023-01-23,12500.0
2023-01-24,12500.0
2023-01-25,12500.0
2023-01-26,12500.0
2023-01-27,12500.0
2023-01-28,12500.0
2023-01-29,12500.0
2023-01-30,12500.0
2023-01-31,12500.0
2023-02-01,12500.0
2023-02-02,12500.0
2023-02-03,12500.0
2023-02-04,12500.0
2023-02-05,12500.0
2023-02-06,12650.0
2023-02-07,12900.0
2023-02-08,12900.0
2023-02-09,12900.0
2023-02-10,12900.0
2023-02-11,12900.0
2023-02-12,12900.0
2023-02-13,12900.0
2023-02-14,13150.0
2023-02-15,13150.0
2023-02-16,13150.0
2023-02-17,13150.0
2023-02-18,13150.0
2023-02-19,13150.0
2023-02-20,13150.0
2023-02-21,13150.0
2023-02-22,13150.0
2023-02-23,13150.0
2023-02-24,13150.0
2023-02-25,13150.0
2023-02-26,13150.0
2023-02-27,13150.0
2023-02-28,13150.0
2023-03-01,13150.0
2023-03-02,13150.0
2023-03-03,13150.0
2023-03-04,13150.0
2023-03-05,13150.0
2023-03-06,13150.0
2023-03-07,13150.0
2023-03-08,13150.0
2023-03-09,13150.0
2023-03-10,13150.0
2023-03-11,13150.0
2023-03-12,13150.0
2023-03-13,13150.0
2023-03-14,13150.0
2023-03-15,13150.0
2023-03-16,13150.0
2023-03-17,13150.0
2023-03-18,13150.0
2023-03-19,13150.0
2023-03-20,13150.0
2023-03-21,13150.0
2023-03-22,13150.0
2023-03-23,13150.0
2023-03-24,13150.0
2023-03-25,13150.0
2023-03-26,13150.0
2023-03-27,13150.0
2023-03-28,13150.0
2023-03-29,13150.0
2023-03-30,13150.0
2023-03-31,13150.0
2023-04-01,13150.0
2023-04-02,13150.0
2023-04-03,13150.0
2023-04-04,13150.0
2023-04-05,13150.0
2023-04-06,13150.0
2023-04-07,13250.0
2023-04-08,13250.0
2023-04-09,13250.0
2023-04-10,13150.0
2023-04-11,13150.0
2023-04-12,13150.0
2023-04-13,13150.0
2023-04-14,13150.0
2023-04-15,13150.0
2023-04-16,13150.0
2023-04-17,13150.0
2023-04-18,13150.0
2023-04-19,13150.0
2023-04-20,13150.0
2023-04-21,13150.0
2023-04-22,13150.0
2023-04-23,13150.0
2023-04-24,13150.0
2023-04-25,13150.0
2023-04-26,13150.0
