Tanggal_Loop,Tanggal,Provinsi,Komoditas,Harga_Rp,Perubahan_Harga
2021-10-26,26 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-10-27,27 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-10-28,28 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-10-29,29 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-10-30,,,,,
2021-10-31,,,,,
2021-11-01,01 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-02,02 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-03,03 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-04,04 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-05,05 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-06,,,,,
2021-11-07,,,,,
2021-11-08,08 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,
2021-11-09,09 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-10,10 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-11,11 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-12,12 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-13,,,,,
2021-11-14,,,,,
2021-11-15,15 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-16,16 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-17,17 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-18,18 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-19,19 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-20,,,,,
2021-11-21,,,,,
2021-11-22,22 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,
2021-11-23,23 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-24,24 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-25,25 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-26,26 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-11-27,,,,,
2021-11-28,,,,,
2021-11-29,29 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
